device_id,product_class,timestamp,temperature_c,rx_power_dbm,bias_current_ua,supply_voltage_v,health_score,root_cause
NOKIA_BOX_001,G-2425G-A,2026-02-10 14:33:26.783155,39.92,-19.62,14692,3.54,0,NORMAL
NOKIA_BOX_001,G-2425G-A,2026-02-10 20:33:26.783155,69.82,-23.07,11977,3.28,1,MACROBEND_OR_CONNECTOR
NOKIA_BOX_001,G-2425G-A,2026-02-11 02:33:26.783155,50.16,-21.68,19545,3.24,0,NORMAL
NOKIA_BOX_001,G-2425G-A,2026-02-11 08:33:26.783155,68.62,-23.61,16155,3.45,1,MACROBEND_OR_CONNECTOR
NOKIA_BOX_001,G-2425G-A,2026-02-11 14:33:26.783155,53.75,-26.32,18153,3.2,2,SEVERE_SIGNAL_LOSS
NOKIA_BOX_002,G-2425G-A,2026-02-10 14:33:26.783266,53.49,-22.44,17082,3.55,0,NORMAL
NOKIA_BOX_002,G-2425G-A,2026-02-10 20:33:26.783266,38.67,-25.24,14719,3.1,1,MACROBEND_OR_CONNECTOR
NOKIA_BOX_002,G-2425G-A,2026-02-11 02:33:26.783266,66.24,-19.72,17086,3.11,1,MACROBEND_OR_CONNECTOR
NOKIA_BOX_002,G-2425G-A,2026-02-11 08:33:26.783266,37.6,-20.32,13374,3.15,0,NORMAL
NOKIA_BOX_002,G-2425G-A,2026-02-11 14:33:26.783266,35.24,-24.91,16512,3.34,1,MACROBEND_OR_CONNECTOR
NOKIA_BOX_003,G-2425G-A,2026-02-10 14:33:26.783316,44.91,-25.23,19263,3.2,1,MACROBEND_OR_CONNECTOR
NOKIA_BOX_003,G-2425G-A,2026-02-10 20:33:26.783316,33.83,-25.53,11462,3.15,1,MACROBEND_OR_CONNECTOR
NOKIA_BOX_003,G-2425G-A,2026-02-11 02:33:26.783316,48.65,-21.96,14233,3.23,0,NORMAL
NOKIA_BOX_003,G-2425G-A,2026-02-11 08:33:26.783316,68.09,-21.9,18705,3.31,1,MACROBEND_OR_CONNECTOR
NOKIA_BOX_003,G-2425G-A,2026-02-11 14:33:26.783316,59.44,-24.45,17631,3.48,1,MACROBEND_OR_CONNECTOR
NOKIA_BOX_004,G-2425G-A,2026-02-10 14:33:26.783364,51.1,-24.92,16244,3.51,1,MACROBEND_OR_CONNECTOR
NOKIA_BOX_004,G-2425G-A,2026-02-10 20:33:26.783364,39.67,-22.36,13472,3.15,0,NORMAL
NOKIA_BOX_004,G-2425G-A,2026-02-11 02:33:26.783364,33.34,-23.48,18877,3.31,0,NORMAL
NOKIA_BOX_004,G-2425G-A,2026-02-11 08:33:26.783364,67.04,-25.36,17281,3.14,1,MACROBEND_OR_CONNECTOR
