device_id,rx_T1,rx_T2,rx_T3,rx_T4,rx_T5,rx_T6,rx_T7,rx_T8,rx_T9,rx_T10,timestamp_T1,timestamp_T2,timestamp_T3,timestamp_T4,timestamp_T5,timestamp_T6,timestamp_T7,timestamp_T8,timestamp_T9,timestamp_T10,health_score,root_cause,vendor,slope,rx_mean,rx_std,rx_min,rx_max,rx_last,rx_first,ci_lower,ci_upper,rx_threshold,jours_avant_seuil,niveau_risque
HUAWEI_BOX_001,-11.81,-17.6,-14.13,-16.07,-18.65,-15.72,-15.92,-13.37,-18.16,-16.67,2026-02-22 21:50:35,2026-02-23 03:50:35,2026-02-23 09:50:35,2026-02-23 15:50:35,2026-02-23 21:50:35,2026-02-24 03:50:35,2026-02-24 09:50:35,2026-02-24 15:50:35,2026-02-24 21:50:35,2026-02-25 03:50:35,0,NORMAL,HUAWEI,-0.5400000000000001,-15.810000000000002,2.170396789119958,-18.65,-11.81,-16.67,-11.81,-20.923977706675117,-12.416022293324884,-28.0,20.98,modere
HUAWEI_BOX_002,-16.27,-14.77,-20.18,-16.66,-14.06,-18.65,-18.15,-12.68,-14.44,-16.8,2026-02-22 21:50:35,2026-02-23 03:50:35,2026-02-23 09:50:35,2026-02-23 15:50:35,2026-02-23 21:50:35,2026-02-24 03:50:35,2026-02-24 09:50:35,2026-02-24 15:50:35,2026-02-24 21:50:35,2026-02-25 03:50:35,0,NORMAL,HUAWEI,-0.05888888888888902,-16.266000000000002,2.3163870334831542,-20.18,-12.68,-16.8,-16.27,-21.340118585626982,-12.25988141437302,-28.0,190.19,faible
HUAWEI_BOX_003,-18.63,-18.68,-20.71,-21.09,-22.39,-23.05,-24.08,-24.66,-26.0,-27.03,2026-02-22 21:50:35,2026-02-23 03:50:35,2026-02-23 09:50:35,2026-02-23 15:50:35,2026-02-23 21:50:35,2026-02-24 03:50:35,2026-02-24 09:50:35,2026-02-24 15:50:35,2026-02-24 21:50:35,2026-02-25 03:50:35,1,OPTICAL_AGING,HUAWEI,-0.9333333333333336,-22.631999999999998,2.8835695471643015,-27.03,-18.63,-27.03,-18.63,-32.68179631244203,-21.37820368755797,-28.0,1.04,critique
HUAWEI_BOX_004,-18.36,-18.2,-12.0,-14.08,-16.26,-15.48,-14.95,-16.88,-16.28,-13.0,2026-02-22 21:50:35,2026-02-23 03:50:35,2026-02-23 09:50:35,2026-02-23 15:50:35,2026-02-23 21:50:35,2026-02-24 03:50:35,2026-02-24 09:50:35,2026-02-24 15:50:35,2026-02-24 21:50:35,2026-02-25 03:50:35,0,NORMAL,HUAWEI,0.5955555555555555,-15.549000000000001,2.0911264906743443,-18.36,-12.0,-13.0,-18.36,-17.098607921721715,-8.901392078278285,-28.0,,stable
HUAWEI_BOX_005,-29.71,-31.05,-30.95,-31.21,-30.06,-30.24,-30.08,-30.54,-29.94,-28.18,2026-02-22 21:50:35,2026-02-23 03:50:35,2026-02-23 09:50:35,2026-02-23 15:50:35,2026-02-23 21:50:35,2026-02-24 03:50:35,2026-02-24 09:50:35,2026-02-24 15:50:35,2026-02-24 21:50:35,2026-02-25 03:50:35,2,CRITICAL_FIBER_ISSUE,HUAWEI,0.17000000000000012,-30.196000000000005,0.8720499476011173,-31.21,-28.18,-28.18,-29.71,-29.889217897298188,-26.47078210270181,-28.0,,stable
HUAWEI_BOX_006,-12.4,-17.25,-12.12,-13.52,-16.68,-17.8,-15.15,-13.34,-13.42,-15.33,2026-02-22 21:50:35,2026-02-23 03:50:35,2026-02-23 09:50:35,2026-02-23 15:50:35,2026-02-23 21:50:35,2026-02-24 03:50:35,2026-02-24 09:50:35,2026-02-24 15:50:35,2026-02-24 21:50:35,2026-02-25 03:50:35,0,NORMAL,HUAWEI,-0.32555555555555554,-14.701000000000002,2.040127719313453,-17.8,-12.12,-15.33,-12.4,-19.32865032985437,-11.331349670145633,-28.0,38.92,faible
HUAWEI_BOX_007,-17.55,-18.35,-20.39,-20.81,-22.82,-23.24,-23.21,-25.03,-25.96,-26.78,2026-02-22 21:50:35,2026-02-23 03:50:35,2026-02-23 09:50:35,2026-02-23 15:50:35,2026-02-23 21:50:35,2026-02-24 03:50:35,2026-02-24 09:50:35,2026-02-24 15:50:35,2026-02-24 21:50:35,2026-02-25 03:50:35,1,OPTICAL_AGING,HUAWEI,-1.0255555555555556,-22.414,3.105626435287341,-26.78,-17.55,-26.78,-17.55,-32.86702781316319,-20.692972186836812,-28.0,1.19,critique
HUAWEI_BOX_008,-18.33,-18.52,-20.42,-20.22,-21.99,-23.19,-23.86,-24.67,-25.65,-26.67,2026-02-22 21:50:35,2026-02-23 03:50:35,2026-02-23 09:50:35,2026-02-23 15:50:35,2026-02-23 21:50:35,2026-02-24 03:50:35,2026-02-24 09:50:35,2026-02-24 15:50:35,2026-02-24 21:50:35,2026-02-25 03:50:35,1,OPTICAL_AGING,HUAWEI,-0.9266666666666671,-22.351999999999997,2.927668013966065,-26.67,-18.33,-26.67,-18.33,-32.40822930737349,-20.931770692626515,-28.0,1.44,critique
HUAWEI_BOX_009,-30.27,-28.43,-28.7,-28.93,-29.56,-31.32,-28.0,-30.86,-28.51,-31.13,2026-02-22 21:50:35,2026-02-23 03:50:35,2026-02-23 09:50:35,2026-02-23 15:50:35,2026-02-23 21:50:35,2026-02-24 03:50:35,2026-02-24 09:50:35,2026-02-24 15:50:35,2026-02-24 21:50:35,2026-02-25 03:50:35,2,CRITICAL_FIBER_ISSUE,HUAWEI,-0.09555555555555549,-29.570999999999998,1.234003871774945,-31.32,-28.0,-31.13,-30.27,-33.54864758867889,-28.71135241132111,-28.0,-32.76,critique
HUAWEI_BOX_010,-28.61,-30.11,-30.94,-27.64,-31.73,-27.64,-30.07,-31.24,-30.38,-30.58,2026-02-22 21:50:35,2026-02-23 03:50:35,2026-02-23 09:50:35,2026-02-23 15:50:35,2026-02-23 21:50:35,2026-02-24 03:50:35,2026-02-24 09:50:35,2026-02-24 15:50:35,2026-02-24 21:50:35,2026-02-25 03:50:35,2,CRITICAL_FIBER_ISSUE,HUAWEI,-0.21888888888888877,-29.894,1.4480193368874599,-31.73,-27.64,-30.58,-28.61,-33.41811790029942,-27.741882099700575,-28.0,-11.79,critique
