device_id,snr_T1,snr_T2,snr_T3,snr_T4,snr_T5,snr_T6,snr_T7,snr_T8,snr_T9,snr_T10,timestamp_T1,timestamp_T2,timestamp_T3,timestamp_T4,timestamp_T5,timestamp_T6,timestamp_T7,timestamp_T8,timestamp_T9,timestamp_T10,health_score,root_cause,slope,snr_mean,snr_std,snr_min,snr_max,snr_last,snr_first,ci_lower,ci_upper,snr_threshold,jours_avant_seuil,niveau_risque
IGD_001,16.41,15.77,15.95,20.54,20.61,21.22,15.7,16.77,20.59,16.47,2026-02-22 21:21:37,2026-02-23 03:21:37,2026-02-23 09:21:37,2026-02-23 15:21:37,2026-02-23 21:21:37,2026-02-24 03:21:37,2026-02-24 09:21:37,2026-02-24 15:21:37,2026-02-24 21:21:37,2026-02-25 03:21:37,1,Configuration / Ports overload,0.006666666666666525,18.003,2.384845906971769,15.7,21.22,16.47,16.41,11.79570202233533,21.144297977664667,6.0,,stable
IGD_002,19.38,17.68,16.44,15.52,15.84,12.55,10.28,6.78,6.57,4.39,2026-02-22 21:21:37,2026-02-23 03:21:37,2026-02-23 09:21:37,2026-02-23 15:21:37,2026-02-23 21:21:37,2026-02-24 03:21:37,2026-02-24 09:21:37,2026-02-24 15:21:37,2026-02-24 21:21:37,2026-02-25 03:21:37,1,Line degradation,-1.6655555555555555,12.543,5.254989269467847,4.39,19.38,4.39,19.38,-5.909778968156981,14.689778968156979,6.0,-0.97,critique
IGD_003,18.29,17.07,16.4,15.18,14.47,11.12,11.84,8.92,7.05,7.07,2026-02-22 21:21:37,2026-02-23 03:21:37,2026-02-23 09:21:37,2026-02-23 15:21:37,2026-02-23 21:21:37,2026-02-24 03:21:37,2026-02-24 09:21:37,2026-02-24 15:21:37,2026-02-24 21:21:37,2026-02-25 03:21:37,2,Line degradation,-1.2466666666666666,12.741,4.1425339802804,7.05,18.29,7.07,18.29,-1.0493666013495844,15.189366601349585,6.0,0.86,critique
IGD_004,8.6,15.47,13.29,10.36,11.93,14.56,13.0,10.98,4.69,8.85,2026-02-22 21:21:37,2026-02-23 03:21:37,2026-02-23 09:21:37,2026-02-23 15:21:37,2026-02-23 21:21:37,2026-02-24 03:21:37,2026-02-24 09:21:37,2026-02-24 15:21:37,2026-02-24 21:21:37,2026-02-25 03:21:37,1,Crosstalk / Saturation,0.027777777777777776,11.172999999999998,3.215808348352453,4.69,15.47,8.85,8.6,2.547015637229192,15.152984362770807,6.0,,stable
IGD_005,20.22,17.57,16.0,13.03,13.48,11.44,8.55,8.95,9.3,4.53,2026-02-22 21:21:37,2026-02-23 03:21:37,2026-02-23 09:21:37,2026-02-23 15:21:37,2026-02-23 21:21:37,2026-02-24 03:21:37,2026-02-24 09:21:37,2026-02-24 15:21:37,2026-02-24 21:21:37,2026-02-25 03:21:37,1,Line degradation,-1.7433333333333332,12.306999999999999,4.731826168498679,4.53,20.22,4.53,20.22,-4.7443792902574105,13.804379290257412,6.0,-0.84,critique
IGD_006,24.72,16.97,23.27,16.79,17.77,15.54,19.63,15.49,23.78,18.9,2026-02-22 21:21:37,2026-02-23 03:21:37,2026-02-23 09:21:37,2026-02-23 15:21:37,2026-02-23 21:21:37,2026-02-24 03:21:37,2026-02-24 09:21:37,2026-02-24 15:21:37,2026-02-24 21:21:37,2026-02-25 03:21:37,0,NORMAL,-0.6466666666666667,19.286,3.467279433023342,15.49,24.72,18.9,24.72,12.104132311274249,25.695867688725748,6.0,19.95,modere
IGD_007,9.36,8.97,11.64,14.49,7.43,10.5,12.05,12.72,5.4,12.44,2026-02-22 21:21:37,2026-02-23 03:21:37,2026-02-23 09:21:37,2026-02-23 15:21:37,2026-02-23 21:21:37,2026-02-24 03:21:37,2026-02-24 09:21:37,2026-02-24 15:21:37,2026-02-24 21:21:37,2026-02-25 03:21:37,0,Crosstalk / Saturation,0.3422222222222222,10.5,2.7363722943585973,5.4,14.49,12.44,9.36,7.0767103030571485,17.80328969694285,6.0,,stable
IGD_008,20.99,17.58,19.09,18.26,17.14,13.2,20.2,15.62,21.61,13.79,2026-02-22 21:21:37,2026-02-23 03:21:37,2026-02-23 09:21:37,2026-02-23 15:21:37,2026-02-23 21:21:37,2026-02-24 03:21:37,2026-02-24 09:21:37,2026-02-24 15:21:37,2026-02-24 21:21:37,2026-02-25 03:21:37,1,Configuration / Ports overload,-0.7999999999999999,17.747999999999998,2.882463452596677,13.2,21.61,13.79,20.99,8.140371632910512,19.439628367089487,6.0,9.74,modere
IGD_009,4.03,8.81,9.35,6.99,9.52,11.19,13.42,9.57,3.51,10.12,2026-02-22 21:21:37,2026-02-23 03:21:37,2026-02-23 09:21:37,2026-02-23 15:21:37,2026-02-23 21:21:37,2026-02-24 03:21:37,2026-02-24 09:21:37,2026-02-24 15:21:37,2026-02-24 21:21:37,2026-02-25 03:21:37,0,Crosstalk / Saturation,0.6766666666666665,8.651,3.055121201451025,3.51,13.42,10.12,4.03,4.131962445155991,16.108037554844007,6.0,,stable
IGD_010,18.91,19.47,18.72,15.05,15.57,12.94,11.44,7.95,8.02,5.69,2026-02-22 21:21:37,2026-02-23 03:21:37,2026-02-23 09:21:37,2026-02-23 15:21:37,2026-02-23 21:21:37,2026-02-24 03:21:37,2026-02-24 09:21:37,2026-02-24 15:21:37,2026-02-24 21:21:37,2026-02-25 03:21:37,1,Line degradation,-1.4688888888888887,13.376,5.000858148580323,5.69,19.47,5.69,18.91,-4.1116819712174335,15.491681971217435,6.0,-0.21,critique
IGD_011,18.78,20.11,18.56,15.29,12.32,12.35,11.03,8.05,7.12,7.71,2026-02-22 21:21:37,2026-02-23 03:21:37,2026-02-23 09:21:37,2026-02-23 15:21:37,2026-02-23 21:21:37,2026-02-24 03:21:37,2026-02-24 09:21:37,2026-02-24 15:21:37,2026-02-24 21:21:37,2026-02-25 03:21:37,1,Line degradation,-1.23,13.132,4.850781838471448,7.12,20.11,7.71,18.78,-1.7975324034040385,17.21753240340404,6.0,1.39,critique
IGD_012,19.23,19.35,17.26,16.75,12.36,11.32,11.14,9.25,8.37,8.17,2026-02-22 21:21:37,2026-02-23 03:21:37,2026-02-23 09:21:37,2026-02-23 15:21:37,2026-02-23 21:21:37,2026-02-24 03:21:37,2026-02-24 09:21:37,2026-02-24 15:21:37,2026-02-24 21:21:37,2026-02-25 03:21:37,1,Line degradation,-1.228888888888889,13.320000000000002,4.420173450593691,8.17,19.35,8.17,19.23,-0.49353996316363435,16.833539963163634,6.0,1.77,critique
IGD_013,24.28,21.87,16.94,22.25,18.58,17.51,17.19,22.72,21.08,19.42,2026-02-22 21:21:37,2026-02-23 03:21:37,2026-02-23 09:21:37,2026-02-23 15:21:37,2026-02-23 21:21:37,2026-02-24 03:21:37,2026-02-24 09:21:37,2026-02-24 15:21:37,2026-02-24 21:21:37,2026-02-25 03:21:37,0,NORMAL,-0.5399999999999999,20.184000000000005,2.601637091439841,16.94,24.28,19.42,24.28,14.320791300777913,24.51920869922209,6.0,24.85,modere
IGD_014,16.17,20.26,24.65,22.85,18.88,24.2,19.99,18.76,17.36,24.68,2026-02-22 21:21:37,2026-02-23 03:21:37,2026-02-23 09:21:37,2026-02-23 15:21:37,2026-02-23 21:21:37,2026-02-24 03:21:37,2026-02-24 09:21:37,2026-02-24 15:21:37,2026-02-24 21:21:37,2026-02-25 03:21:37,0,NORMAL,0.9455555555555554,20.78,3.121637746796098,16.17,24.68,24.68,16.17,18.56159001627965,30.79840998372035,6.0,,stable
IGD_015,21.99,17.84,17.88,15.9,13.7,14.04,10.45,9.21,8.09,6.48,2026-02-22 21:21:37,2026-02-23 03:21:37,2026-02-23 09:21:37,2026-02-23 15:21:37,2026-02-23 21:21:37,2026-02-24 03:21:37,2026-02-24 09:21:37,2026-02-24 15:21:37,2026-02-24 21:21:37,2026-02-25 03:21:37,1,Line degradation,-1.7233333333333332,13.557999999999998,4.971174240894532,6.48,21.99,6.48,21.99,-3.263501512153283,16.223501512153284,6.0,0.28,critique
