device_id,timestamp,downstream_curr_rate_kbps,downstream_max_rate_kbps,upstream_curr_rate_kbps,upstream_max_rate_kbps,snr_margin_down_db,snr_margin_up_db,attenuation_down_db,attenuation_up_db,crc_errors_total,health_score,root_cause
IGD_181,2026-02-23 03:21:38,2989,22025,1365,3303,11.8,14.61,21.19,23.28,332,1,Configuration / Ports overload
IGD_120,2026-02-22 21:21:37,4047,13381,1430,2007,18.52,16.88,26.02,36.54,54,0,Line degradation
IGD_182,2026-02-24 15:21:38,8727,20800,2806,3120,20.26,15.65,22.92,28.12,76,0,NORMAL
IGD_026,2026-02-23 03:21:37,3432,10758,1371,1613,23.3,18.27,44.23,46.98,56,0,NORMAL
IGD_251,2026-02-24 03:21:38,5299,15024,1990,2253,16.52,17.22,28.26,31.23,39,0,NORMAL
IGD_112,2026-02-24 15:21:37,1956,17029,1807,2554,9.81,10.33,43.56,50.52,367,1,Line degradation
IGD_142,2026-02-23 03:21:37,1300,10997,1245,1649,11.49,8.13,51.09,56.03,71,0,Crosstalk / Saturation
IGD_212,2026-02-23 15:21:38,2273,9413,1216,1411,15.82,16.68,43.09,45.64,13,0,NORMAL
IGD_041,2026-02-24 21:21:37,4879,12520,1663,1878,24.04,20.71,35.91,38.32,28,0,NORMAL
IGD_258,2026-02-25 03:21:38,2834,11224,1586,1683,17.98,18.99,43.15,44.82,34,0,NORMAL
IGD_226,2026-02-23 21:21:38,1197,12522,1024,1878,5.31,5.87,32.73,37.08,1628,2,High Interference / Noise
IGD_006,2026-02-23 09:21:37,11215,21533,2803,3229,23.27,16.18,22.7,22.76,41,0,NORMAL
IGD_065,2026-02-23 21:21:37,1108,10547,756,1582,12.83,12.96,41.31,42.24,328,1,Configuration / Ports overload
IGD_177,2026-02-23 15:21:38,6121,14382,1944,2157,21.12,15.83,27.67,31.5,57,0,NORMAL
IGD_278,2026-02-24 09:21:38,6625,17080,2373,2562,25.32,16.58,40.21,42.18,45,0,NORMAL
IGD_091,2026-02-22 21:21:37,2932,10452,1101,1567,19.08,16.0,41.27,44.84,12,0,Line degradation
IGD_108,2026-02-23 15:21:37,10196,20685,2693,3102,23.66,19.61,26.68,25.39,7,0,NORMAL
